Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
SelectKBest_f_classif20,RandomForest,0.5074,0.5087,0.0044,0.8696,0.8019,0.8662,0.7903,33.0
SelectKBest_f_classif20,XGBoost,0.5054,0.501,0.0117,0.8946,0.8304,0.8841,0.8312,33.0
SelectKBest_f_classif20,kNN,0.4795,0.4798,0.0017,0.893,0.8387,0.892,0.828,33.0
SelectKBest_f_classif20,SVM,0.4575,0.4373,0.0202,0.8324,0.7037,0.8591,0.7324,33.0
SelectKBest_f_classif20,MLP,0.4677,0.4897,0.0367,0.8785,0.813,0.8592,0.8128,33.0
SelectKBest_f_classif20,LR,0.3063,0.3432,0.0369,0.8594,0.7875,0.8667,0.7904,33.0
SelectKBest_f_classif20,CatBoost,0.5005,0.5089,0.01,0.8916,0.8225,0.8715,0.8067,33.0
SelectKBest_f_classif40,RandomForest,0.5084,0.5087,0.0062,0.8871,0.8147,0.8662,0.7903,67.0
SelectKBest_f_classif40,XGBoost,0.5029,0.501,0.0082,0.9038,0.8376,0.8841,0.8312,67.0
SelectKBest_f_classif40,kNN,0.4793,0.4798,0.0032,0.8884,0.8122,0.892,0.828,67.0
SelectKBest_f_classif40,SVM,0.448,0.4373,0.0107,0.8184,0.697,0.8591,0.7324,67.0
SelectKBest_f_classif40,MLP,0.4057,0.4897,0.0839,0.8432,0.7457,0.8592,0.8128,67.0
SelectKBest_f_classif40,LR,0.3231,0.3432,0.0201,0.8422,,0.8667,0.7904,67.0
SelectKBest_f_classif40,CatBoost,0.5051,0.5089,0.0053,0.8872,0.8291,0.8715,0.8067,67.0
SelectKBest_f_classif60,RandomForest,0.5081,0.5087,0.0117,0.8751,0.8024,0.8662,0.7903,101.0
SelectKBest_f_classif60,XGBoost,0.5054,0.501,0.0085,0.8837,0.8304,0.8841,0.8312,101.0
SelectKBest_f_classif60,kNN,0.481,0.4798,0.0022,0.8935,0.8439,0.892,0.828,101.0
SelectKBest_f_classif60,SVM,0.4413,0.4373,0.0046,0.838,0.6982,0.8591,0.7324,101.0
SelectKBest_f_classif60,MLP,0.4544,0.4897,0.0353,0.8582,0.8047,0.8592,0.8128,101.0
SelectKBest_f_classif60,LR,0.335,0.3432,0.0093,0.8128,0.7252,0.8667,0.7904,101.0
SelectKBest_f_classif60,CatBoost,0.509,0.5089,0.0019,0.8752,0.8218,0.8715,0.8067,101.0
SelectKBest_f_classif80,RandomForest,0.5059,0.5087,0.0036,0.8728,0.7994,0.8662,0.7903,135.0
SelectKBest_f_classif80,XGBoost,0.5022,0.501,0.0061,0.8738,0.8208,0.8841,0.8312,135.0
SelectKBest_f_classif80,kNN,0.4811,0.4798,0.002,0.8944,0.8314,0.892,0.828,135.0
SelectKBest_f_classif80,SVM,0.4402,0.4373,0.0032,0.8549,0.7384,0.8591,0.7324,135.0
SelectKBest_f_classif80,MLP,0.4745,0.4897,0.017,0.8743,0.8045,0.8592,0.8128,135.0
SelectKBest_f_classif80,LR,0.3335,0.3432,0.0129,0.8398,0.7356,0.8667,0.7904,135.0
SelectKBest_f_classif80,CatBoost,0.5104,0.5089,0.0059,0.8741,0.8222,0.8715,0.8067,135.0
SelectPercentile_mutual_info20,RandomForest,0.5113,0.5087,0.0051,0.8865,0.8115,0.8662,0.7903,34.0
SelectPercentile_mutual_info20,XGBoost,0.4985,0.501,0.007,0.8874,0.8402,0.8841,0.8312,34.0
SelectPercentile_mutual_info20,kNN,0.4803,0.4798,0.0031,0.8879,0.8312,0.892,0.828,34.0
SelectPercentile_mutual_info20,SVM,0.4564,0.4373,0.0191,0.8271,0.7067,0.8591,0.7324,34.0
SelectPercentile_mutual_info20,MLP,0.4098,0.4897,0.0799,0.8847,0.7778,0.8592,0.8128,34.0
SelectPercentile_mutual_info20,LR,0.2902,0.3432,0.053,0.7992,,0.8667,0.7904,34.0
SelectPercentile_mutual_info20,CatBoost,0.5028,0.5089,0.0062,0.8823,0.825,0.8715,0.8067,34.0
SelectPercentile_mutual_info40,RandomForest,0.5137,0.5087,0.0079,0.8686,0.8079,0.8662,0.7903,68.0
SelectPercentile_mutual_info40,XGBoost,0.5016,0.501,0.0074,0.8803,0.8244,0.8841,0.8312,68.0
SelectPercentile_mutual_info40,kNN,0.4795,0.4798,0.0041,0.8982,0.833,0.892,0.828,68.0
SelectPercentile_mutual_info40,SVM,0.4471,0.4373,0.0098,0.8221,0.7046,0.8591,0.7324,68.0
SelectPercentile_mutual_info40,MLP,0.4493,0.4897,0.0439,0.8693,0.8039,0.8592,0.8128,68.0
SelectPercentile_mutual_info40,LR,0.3088,0.3432,0.0344,0.8179,0.7704,0.8667,0.7904,68.0
SelectPercentile_mutual_info40,CatBoost,0.5012,0.5089,0.0094,0.8855,0.8378,0.8715,0.8067,68.0
SelectPercentile_mutual_info60,RandomForest,0.5048,0.5087,0.0073,0.8582,0.7873,0.8662,0.7903,101.0
SelectPercentile_mutual_info60,XGBoost,0.5069,0.501,0.007,0.8763,0.8264,0.8841,0.8312,101.0
SelectPercentile_mutual_info60,kNN,0.4767,0.4798,0.0034,0.895,0.8386,0.892,0.828,101.0
SelectPercentile_mutual_info60,SVM,0.4412,0.4373,0.0047,0.8416,0.7006,0.8591,0.7324,101.0
SelectPercentile_mutual_info60,MLP,0.4532,0.4897,0.0365,0.8582,0.7847,0.8592,0.8128,101.0
SelectPercentile_mutual_info60,LR,0.3321,0.3432,0.0133,0.8418,,0.8667,0.7904,101.0
SelectPercentile_mutual_info60,CatBoost,0.5076,0.5089,0.0078,0.8867,0.8171,0.8715,0.8067,101.0
SelectPercentile_mutual_info80,RandomForest,0.5033,0.5087,0.0064,0.8712,0.8153,0.8662,0.7903,135.0
SelectPercentile_mutual_info80,XGBoost,0.4999,0.501,0.0067,0.8803,0.8287,0.8841,0.8312,135.0
SelectPercentile_mutual_info80,kNN,0.4798,0.4798,0.0022,0.8918,0.8251,0.892,0.828,135.0
SelectPercentile_mutual_info80,SVM,0.44,0.4373,0.0033,0.8547,0.7377,0.8591,0.7324,135.0
SelectPercentile_mutual_info80,MLP,0.4806,0.4897,0.0197,0.8503,0.7793,0.8592,0.8128,135.0
SelectPercentile_mutual_info80,LR,0.3406,0.3432,0.0047,0.8472,0.7776,0.8667,0.7904,135.0
SelectPercentile_mutual_info80,CatBoost,0.5116,0.5089,0.0051,0.8589,0.7967,0.8715,0.8067,135.0
RFE_LogisticRegression20,RandomForest,0.2491,0.5087,0.2596,0.7571,,0.8662,0.7903,33.0
RFE_LogisticRegression20,XGBoost,0.2503,0.501,0.2507,0.8368,,0.8841,0.8312,33.0
RFE_LogisticRegression20,kNN,0.2225,0.4798,0.2573,0.7788,,0.892,0.828,33.0
RFE_LogisticRegression20,SVM,0.2497,0.4373,0.1876,0.8399,,0.8591,0.7324,33.0
RFE_LogisticRegression20,MLP,0.2509,0.4897,0.2387,0.6836,,0.8592,0.8128,33.0
RFE_LogisticRegression20,LR,0.2497,0.3432,0.0935,0.8399,,0.8667,0.7904,33.0
RFE_LogisticRegression20,CatBoost,0.2512,0.5089,0.2577,0.749,,0.8715,0.8067,33.0
RFE_LogisticRegression40,RandomForest,0.3473,0.5087,0.1614,0.8253,0.7678,0.8662,0.7903,67.0
RFE_LogisticRegression40,XGBoost,0.3208,0.501,0.1802,0.8144,0.7187,0.8841,0.8312,67.0
RFE_LogisticRegression40,kNN,0.3473,0.4798,0.1324,0.9009,0.8159,0.892,0.828,67.0
RFE_LogisticRegression40,SVM,0.3302,0.4373,0.107,0.8527,0.7645,0.8591,0.7324,67.0
RFE_LogisticRegression40,MLP,0.3393,0.4897,0.1503,0.8074,0.7012,0.8592,0.8128,67.0
RFE_LogisticRegression40,LR,0.3308,0.3432,0.0237,0.8313,0.7026,0.8667,0.7904,67.0
RFE_LogisticRegression40,CatBoost,0.3432,0.5089,0.1658,0.8238,0.7207,0.8715,0.8067,67.0
RFE_LogisticRegression60,RandomForest,0.3493,0.5087,0.1594,0.8871,0.7947,0.8662,0.7903,101.0
RFE_LogisticRegression60,XGBoost,0.3251,0.501,0.1759,0.8739,0.7656,0.8841,0.8312,101.0
RFE_LogisticRegression60,kNN,0.3682,0.4798,0.1115,0.9044,0.8442,0.892,0.828,101.0
RFE_LogisticRegression60,SVM,0.3206,0.4373,0.1167,0.8631,0.7684,0.8591,0.7324,101.0
RFE_LogisticRegression60,MLP,0.3491,0.4897,0.1406,0.8948,0.7813,0.8592,0.8128,101.0
RFE_LogisticRegression60,LR,0.3433,0.3432,0.007,0.8649,0.7666,0.8667,0.7904,101.0
RFE_LogisticRegression60,CatBoost,0.3434,0.5089,0.1655,0.8832,0.8113,0.8715,0.8067,101.0
RFE_LogisticRegression80,RandomForest,0.3514,0.5087,0.1573,0.8999,0.8334,0.8662,0.7903,135.0
RFE_LogisticRegression80,XGBoost,0.3482,0.501,0.1528,0.8569,0.775,0.8841,0.8312,135.0
RFE_LogisticRegression80,kNN,0.3601,0.4798,0.1197,0.9011,0.8478,0.892,0.828,135.0
RFE_LogisticRegression80,SVM,0.2967,0.4373,0.1406,0.8648,,0.8591,0.7324,135.0
RFE_LogisticRegression80,MLP,0.354,0.4897,0.1357,0.9247,0.8636,0.8592,0.8128,135.0
RFE_LogisticRegression80,LR,0.3502,0.3432,0.0113,0.8637,0.751,0.8667,0.7904,135.0
RFE_LogisticRegression80,CatBoost,0.3571,0.5089,0.1518,0.8855,0.7954,0.8715,0.8067,135.0
RFE_RF20,RandomForest,0.5022,0.5087,0.0068,0.8809,0.7975,0.8662,0.7903,33.0
RFE_RF20,XGBoost,0.5003,0.501,0.0062,0.8624,0.8104,0.8841,0.8312,33.0
RFE_RF20,kNN,0.48,0.4798,0.003,0.8897,0.8272,0.892,0.828,33.0
RFE_RF20,SVM,0.4576,0.4373,0.0203,0.8318,0.7014,0.8591,0.7324,33.0
RFE_RF20,MLP,0.4425,0.4897,0.0471,0.854,0.7929,0.8592,0.8128,33.0
RFE_RF20,LR,0.3264,0.3432,0.0188,0.8807,0.7211,0.8667,0.7904,33.0
RFE_RF20,CatBoost,0.5027,0.5089,0.0062,0.8706,0.8035,0.8715,0.8067,33.0
RFE_RF40,RandomForest,0.5107,0.5087,0.0056,0.8666,0.7964,0.8662,0.7903,67.0
RFE_RF40,XGBoost,0.5039,0.501,0.0051,0.8926,0.8438,0.8841,0.8312,67.0
RFE_RF40,kNN,0.4811,0.4798,0.0031,0.8906,0.8271,0.892,0.828,67.0
RFE_RF40,SVM,0.4483,0.4373,0.011,0.8223,0.7003,0.8591,0.7324,67.0
RFE_RF40,MLP,0.448,0.4897,0.0417,0.8572,0.7621,0.8592,0.8128,67.0
RFE_RF40,LR,0.3294,0.3432,0.0138,0.842,0.7823,0.8667,0.7904,67.0
RFE_RF40,CatBoost,0.5006,0.5089,0.0083,0.8839,0.8295,0.8715,0.8067,67.0
RFE_RF60,RandomForest,0.4991,0.5087,0.0111,0.8556,0.7957,0.8662,0.7903,101.0
RFE_RF60,XGBoost,0.5015,0.501,0.0052,0.8753,0.7983,0.8841,0.8312,101.0
RFE_RF60,kNN,0.4803,0.4798,0.003,0.8943,0.8379,0.892,0.828,101.0
RFE_RF60,SVM,0.4411,0.4373,0.0046,0.8379,0.6981,0.8591,0.7324,101.0
RFE_RF60,MLP,0.4459,0.4897,0.0512,0.8378,0.7571,0.8592,0.8128,101.0
RFE_RF60,LR,0.3312,0.3432,0.012,0.8746,0.772,0.8667,0.7904,101.0
RFE_RF60,CatBoost,0.5076,0.5089,0.0045,0.8776,0.8303,0.8715,0.8067,101.0
RFE_RF80,RandomForest,0.5046,0.5087,0.0101,0.8644,0.7817,0.8662,0.7903,135.0
RFE_RF80,XGBoost,0.5062,0.501,0.0053,0.8908,0.821,0.8841,0.8312,135.0
RFE_RF80,kNN,0.4797,0.4798,0.0032,0.8951,0.8277,0.892,0.828,135.0
RFE_RF80,SVM,0.4398,0.4373,0.0028,0.8548,0.7389,0.8591,0.7324,135.0
RFE_RF80,MLP,0.4664,0.4897,0.0296,0.8764,0.7856,0.8592,0.8128,135.0
RFE_RF80,LR,0.3376,0.3432,0.0092,0.8327,0.7503,0.8667,0.7904,135.0
RFE_RF80,CatBoost,0.5086,0.5089,0.0057,0.8753,0.8251,0.8715,0.8067,135.0
RFE_XGBoost20,RandomForest,0.5088,0.5087,0.0048,0.8815,0.8157,0.8662,0.7903,33.0
RFE_XGBoost20,XGBoost,0.5071,0.501,0.0109,0.902,0.8531,0.8841,0.8312,33.0
RFE_XGBoost20,kNN,0.4802,0.4798,0.0071,0.8853,0.8276,0.892,0.828,33.0
RFE_XGBoost20,SVM,0.458,0.4373,0.0207,0.8496,0.7093,0.8591,0.7324,33.0
RFE_XGBoost20,MLP,0.4434,0.4897,0.0463,0.8424,0.7518,0.8592,0.8128,33.0
RFE_XGBoost20,LR,0.2566,0.3432,0.0866,0.7613,,0.8667,0.7904,33.0
RFE_XGBoost20,CatBoost,0.5088,0.5089,0.0048,0.8986,0.8349,0.8715,0.8067,33.0
RFE_XGBoost40,RandomForest,0.5032,0.5087,0.0078,0.8813,0.8171,0.8662,0.7903,67.0
RFE_XGBoost40,XGBoost,0.5003,0.501,0.0127,0.8851,0.8359,0.8841,0.8312,67.0
RFE_XGBoost40,kNN,0.4822,0.4798,0.0049,0.8857,0.8233,0.892,0.828,67.0
RFE_XGBoost40,SVM,0.4474,0.4373,0.0101,0.8137,0.6955,0.8591,0.7324,67.0
RFE_XGBoost40,MLP,0.4209,0.4897,0.0688,0.8814,0.7864,0.8592,0.8128,67.0
RFE_XGBoost40,LR,0.3209,0.3432,0.0229,0.8759,0.7726,0.8667,0.7904,67.0
RFE_XGBoost40,CatBoost,0.5061,0.5089,0.0049,0.8821,0.8469,0.8715,0.8067,67.0
RFE_XGBoost60,RandomForest,0.5103,0.5087,0.0044,0.8702,0.7893,0.8662,0.7903,101.0
RFE_XGBoost60,XGBoost,0.5081,0.501,0.0111,0.8832,0.8244,0.8841,0.8312,101.0
RFE_XGBoost60,kNN,0.4813,0.4798,0.0031,0.8917,0.8297,0.892,0.828,101.0
RFE_XGBoost60,SVM,0.441,0.4373,0.0045,0.8379,0.6983,0.8591,0.7324,101.0
RFE_XGBoost60,MLP,0.4562,0.4897,0.0334,0.8513,0.7778,0.8592,0.8128,101.0
RFE_XGBoost60,LR,0.3214,0.3432,0.0218,0.7887,0.698,0.8667,0.7904,101.0
RFE_XGBoost60,CatBoost,0.5096,0.5089,0.0073,0.871,0.8142,0.8715,0.8067,101.0
RFE_XGBoost80,RandomForest,0.5033,0.5087,0.0082,0.8673,0.8022,0.8662,0.7903,135.0
RFE_XGBoost80,XGBoost,0.5082,0.501,0.0105,0.8865,0.8105,0.8841,0.8312,135.0
RFE_XGBoost80,kNN,0.481,0.4798,0.0023,0.8932,0.8357,0.892,0.828,135.0
RFE_XGBoost80,SVM,0.44,0.4373,0.0028,0.8547,0.7388,0.8591,0.7324,135.0
RFE_XGBoost80,MLP,0.4761,0.4897,0.0136,0.8932,0.8086,0.8592,0.8128,135.0
RFE_XGBoost80,LR,0.3393,0.3432,0.0091,0.8745,0.757,0.8667,0.7904,135.0
RFE_XGBoost80,CatBoost,0.509,0.5089,0.0049,0.8633,0.813,0.8715,0.8067,135.0
L1_LogisticRegression,RandomForest,0.5023,0.5087,0.0064,0.8662,0.8053,0.8662,0.7903,167.2
L1_LogisticRegression,XGBoost,0.505,0.501,0.0078,0.8763,0.8232,0.8841,0.8312,167.2
L1_LogisticRegression,kNN,0.4803,0.4798,0.001,0.8923,0.8291,0.892,0.828,167.2
L1_LogisticRegression,SVM,0.4373,0.4373,0.0,0.859,0.732,0.8591,0.7324,167.2
L1_LogisticRegression,MLP,0.4736,0.4897,0.0161,0.8403,0.785,0.8592,0.8128,167.2
L1_LogisticRegression,LR,0.3438,0.3432,0.0062,0.8783,0.7998,0.8667,0.7904,167.2
L1_LogisticRegression,CatBoost,0.5139,0.5089,0.0051,0.8635,0.8062,0.8715,0.8067,167.2
Boruta,RandomForest,0.503,0.5087,0.008,0.8948,0.8244,0.8662,0.7903,22.0
Boruta,XGBoost,0.4908,0.501,0.0104,0.8977,0.8445,0.8841,0.8312,22.0
Boruta,kNN,0.4796,0.4798,0.0051,0.8956,0.8481,0.892,0.828,22.0
Boruta,SVM,0.4696,0.4373,0.0324,0.8529,0.7607,0.8591,0.7324,22.0
Boruta,MLP,0.4341,0.4897,0.0556,0.8578,0.7792,0.8592,0.8128,22.0
Boruta,LR,0.2938,0.3432,0.0494,0.8587,,0.8667,0.7904,22.0
Boruta,CatBoost,0.4991,0.5089,0.0118,0.8909,0.8405,0.8715,0.8067,22.0
MB,RandomForest,0.5087,0.5087,0.0,0.8662,0.7903,0.8662,0.7903,169.0
MB,XGBoost,0.501,0.501,0.0,0.8841,0.8312,0.8841,0.8312,169.0
MB,kNN,0.4798,0.4798,0.0,0.892,0.828,0.892,0.828,169.0
MB,SVM,0.4373,0.4373,0.0,0.8591,0.7324,0.8591,0.7324,169.0
MB,MLP,0.4897,0.4897,0.0,0.8592,0.8128,0.8592,0.8128,169.0
MB,LR,0.3432,0.3432,0.0,0.8667,0.7904,0.8667,0.7904,169.0
MB,CatBoost,0.5089,0.5089,0.0,0.8715,0.8067,0.8715,0.8067,169.0
Exclude_Desc,RandomForest,0.5036,0.5087,0.0065,0.8838,0.8198,0.8662,0.7903,168.0
Exclude_Desc,XGBoost,0.5078,0.501,0.0106,0.8954,0.8365,0.8841,0.8312,168.0
Exclude_Desc,kNN,0.4798,0.4798,0.0018,0.8894,0.835,0.892,0.828,168.0
Exclude_Desc,SVM,0.4371,0.4373,0.0002,0.8599,0.7329,0.8591,0.7324,168.0
Exclude_Desc,MLP,0.466,0.4897,0.0237,0.8942,0.8038,0.8592,0.8128,168.0
Exclude_Desc,LR,0.3359,0.3432,0.0124,0.8598,0.7897,0.8667,0.7904,168.0
Exclude_Desc,CatBoost,0.5083,0.5089,0.0066,0.8883,0.8388,0.8715,0.8067,168.0
MB_Exclude_Desc,RandomForest,0.5036,0.5087,0.0065,0.8838,0.8198,0.8662,0.7903,168.0
MB_Exclude_Desc,XGBoost,0.5078,0.501,0.0106,0.8954,0.8365,0.8841,0.8312,168.0
MB_Exclude_Desc,kNN,0.4798,0.4798,0.0018,0.8894,0.835,0.892,0.828,168.0
MB_Exclude_Desc,SVM,0.4371,0.4373,0.0002,0.8599,0.7329,0.8591,0.7324,168.0
MB_Exclude_Desc,MLP,0.466,0.4897,0.0237,0.8942,0.8038,0.8592,0.8128,168.0
MB_Exclude_Desc,LR,0.3359,0.3432,0.0124,0.8598,0.7897,0.8667,0.7904,168.0
MB_Exclude_Desc,CatBoost,0.5083,0.5089,0.0066,0.8883,0.8388,0.8715,0.8067,168.0
IAMB,RandomForest,0.3363,0.5087,0.1724,0.9043,0.8144,0.8662,0.7903,102.0
IAMB,XGBoost,0.3402,0.501,0.1608,0.873,0.7989,0.8841,0.8312,102.0
IAMB,kNN,0.303,0.4798,0.1768,0.8834,0.7975,0.892,0.828,102.0
IAMB,SVM,0.2419,0.4373,0.1954,0.9096,0.8033,0.8591,0.7324,102.0
IAMB,MLP,0.3671,0.4897,0.1226,0.908,0.8187,0.8592,0.8128,102.0
IAMB,LR,0.3446,0.3432,0.0123,0.8743,0.7837,0.8667,0.7904,102.0
IAMB,CatBoost,0.3461,0.5089,0.1628,0.8594,0.7721,0.8715,0.8067,102.0
Disparate_Impact,RandomForest,0.504,0.5087,0.0126,0.8644,0.7921,0.8662,0.7903,169.0
Disparate_Impact,XGBoost,0.4993,0.501,0.0135,0.8793,0.8381,0.8841,0.8312,169.0
Disparate_Impact,kNN,0.4816,0.4798,0.0033,0.8956,0.852,0.892,0.828,169.0
Disparate_Impact,SVM,0.4477,0.4373,0.0143,0.8415,0.7785,0.8591,0.7324,169.0
Disparate_Impact,MLP,0.4793,0.4897,0.0125,0.8727,0.8359,0.8592,0.8128,169.0
Disparate_Impact,LR,0.3516,0.3432,0.0084,0.8612,0.7811,0.8667,0.7904,169.0
Disparate_Impact,CatBoost,0.5087,0.5089,0.0078,0.8624,0.8058,0.8715,0.8067,169.0
Correlation_Remover,RandomForest,0.5033,0.5087,0.0097,0.8505,0.7654,0.8662,0.7903,168.0
Correlation_Remover,XGBoost,0.4999,0.501,0.0079,0.875,0.8008,0.8841,0.8312,168.0
Correlation_Remover,kNN,0.4744,0.4798,0.0083,0.891,0.8037,0.892,0.828,168.0
Correlation_Remover,SVM,0.4331,0.4373,0.0065,0.752,0.6788,0.8591,0.7324,168.0
Correlation_Remover,MLP,0.4645,0.4897,0.0252,0.9084,0.8254,0.8592,0.8128,168.0
Correlation_Remover,LR,0.3406,0.3432,0.0103,0.8757,0.7702,0.8667,0.7904,168.0
Correlation_Remover,CatBoost,0.5115,0.5089,0.0036,0.8377,0.7727,0.8715,0.8067,168.0
MFL,RandomForest,0.5036,0.5087,0.0065,0.8838,0.8198,0.8662,0.7903,168.0
MFL,XGBoost,0.5078,0.501,0.0106,0.8954,0.8365,0.8841,0.8312,168.0
MFL,kNN,0.4798,0.4798,0.0018,0.8894,0.835,0.892,0.828,168.0
MFL,SVM,0.4371,0.4373,0.0002,0.8599,0.7329,0.8591,0.7324,168.0
MFL,MLP,0.466,0.4897,0.0237,0.8942,0.8038,0.8592,0.8128,168.0
MFL,LR,0.3359,0.3432,0.0124,0.8598,0.7897,0.8667,0.7904,168.0
MFL,CatBoost,0.5083,0.5089,0.0066,0.8883,0.8388,0.8715,0.8067,168.0
